x,y,yaw,type
23.1051,-41.0729,1.5268,START
23.8702,-23.7130,1.5268,END
25.0681,3.4722,-1.6148,START
24.0862,-18.8108,-1.6148,END
22.1063,-41.0241,1.5268,START
22.8694,-23.7077,1.5268,END
24.0691,3.5161,-1.6148,START
23.0860,-18.7918,-1.6148,END
21.1075,-40.9753,1.5268,START
21.8687,-23.7024,1.5268,END
23.0701,3.5599,-1.6148,START
22.0859,-18.7728,-1.6148,END
20.1087,-40.9265,1.5268,START
20.8970,-23.0380,1.5268,END
22.0710,3.6038,-1.6148,START
21.0561,-19.4268,-1.6148,END
19.1099,-40.8777,1.5268,START
21.0720,3.6476,1.5268,END
20.0729,3.6915,-1.6148,START
18.1110,-40.8289,-1.6148,END
17.1122,-40.7801,1.5268,START
19.0739,3.7353,1.5268,END
18.0749,3.7792,-1.6148,START
16.1134,-40.7313,-1.6148,END
15.1146,-40.6825,1.5268,START
15.8761,-23.4011,1.5268,END
17.0758,3.8230,-1.6148,START
16.1960,-16.1426,-1.6148,END
14.1158,-40.6337,1.5268,START
14.8777,-23.3437,1.5268,END
16.0768,3.8669,-1.6148,START
15.1965,-16.1084,-1.6148,END
13.1169,-40.5849,1.5268,START
13.8792,-23.2863,1.5268,END
15.0778,3.9107,-1.6148,START
14.1971,-16.0741,-1.6148,END
12.1181,-40.5361,1.5268,START
12.8808,-23.2290,1.5268,END
14.0787,3.9546,-1.6148,START
13.1976,-16.0398,-1.6148,END
11.1193,-40.4874,1.5268,START
11.8824,-23.1716,1.5268,END
13.0797,3.9984,-1.6148,START
12.1982,-16.0056,-1.6148,END
10.1205,-40.4386,1.5268,START
10.8839,-23.1142,1.5268,END
12.0806,4.0423,-1.6148,START
11.1987,-15.9713,-1.6148,END
9.1217,-40.3898,1.5268,START
9.8855,-23.0568,1.5268,END
11.0816,4.0861,-1.6148,START
10.1992,-15.9370,-1.6148,END
8.1186,-40.4367,1.5268,START
8.8870,-22.9994,1.5268,END
10.0826,4.1300,-1.6148,START
9.1998,-15.9028,-1.6148,END
7.1204,-40.3747,1.5268,START
7.8886,-22.9421,1.5268,END
9.0835,4.1738,-1.6148,START
8.2003,-15.8685,-1.6148,END
6.1230,-40.2927,1.5268,START
6.8902,-22.8847,1.5268,END
8.0845,4.2177,-1.6148,START
7.2008,-15.8342,-1.6148,END
5.2497,-37.3962,1.5268,START
5.8917,-22.8273,1.5268,END
7.0855,4.2616,-1.6148,START
6.2014,-15.8000,-1.6148,END
4.2892,-36.4778,1.5268,START
6.0864,4.3054,1.5268,END
5.0874,4.3493,-1.6148,START
3.2912,-36.4104,-1.6148,END
2.2932,-36.3430,1.5268,START
4.0883,4.3931,1.5268,END
3.0893,4.4370,-1.6148,START
1.4006,-33.8843,-1.6148,END
0.4241,-33.3294,1.5268,START
2.0903,4.4808,1.5268,END
1.0912,4.5247,-1.6148,START
-0.5752,-33.2913,-1.6148,END
-1.5785,-33.3425,1.5268,START
-0.3401,-5.2412,1.5268,END
