# GPR Scan Data - Comprehensive High-Frequency Logging
# Start Time: 20251015_134104
# GPR Velocity (m/s): 0.5
# Log Frequency (Hz): 50.0
# GPR Wheel Radius (m): 0.03
# Fast-LIO Topic: /Odometry
# GPR Motor Start Delay: 0.5 s
# Post-Stop Duration: 1.5 s
#
# Timestamp Format: Microseconds (µs) since epoch
# Time Sync: Both fastlio_time_us and gpr_time_us use ROS time
#
# Event Types:
#   KEY_PRESS_START - Scan key pressed, 50Hz logging begins
#   ARDUINO_START - Linear actuator starting
#   PRE_MOTOR - Waiting for motor start (50Hz logging active)
#   GPR_MOTOR_START - GPR motor velocity command sent
#   SCANNING - Normal scanning operation (50Hz logging)
#   KEY_PRESS_STOP - Stop key pressed (50Hz continues)
#   MOTOR_STOPPING - Stopping motor (50Hz continues)
#   POST_STOP - After motor stopped (50Hz continues)
#   ARDUINO_STOP - Linear actuator stopping
#
seq,event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,gpr_position,gpr_velocity,left_position,right_position
0,KEY_PRESS_START,1760550064560597,1760550064568323,-0.008692,-0.036032,-0.014679,-0.004069,0.130031,0.002202,0.991499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.493729,-0.248903
1,ARDUINO_START,1760550064560597,1760550064568323,-0.008692,-0.036032,-0.014679,-0.004069,0.130031,0.002202,0.991499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.493729,-0.248903
2,PRE_MOTOR,1760550065759723,1760550066627187,-0.006471,-0.037144,-0.017933,-0.004173,0.129978,0.002268,0.991505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.494598,0.029540,386.909760,88.941040
3,PRE_MOTOR,1760550065859627,1760550066637265,-0.004902,-0.040199,-0.021297,-0.004216,0.129959,0.002320,0.991508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.496544,0.484972,386.909760,88.941040
4,PRE_MOTOR,1760550065959626,1760550066647369,-0.003504,-0.043391,-0.024103,-0.004331,0.129975,0.002300,0.991505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.494492,0.282740,386.909760,88.941040
5,PRE_MOTOR,1760550066059633,1760550066667296,-0.003586,-0.044817,-0.026824,-0.004417,0.129916,0.002366,0.991512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.494125,-0.219302,386.909760,88.941040
6,PRE_MOTOR,1760550066159070,1760550066677296,-0.004802,-0.043924,-0.030153,-0.004547,0.129969,0.002157,0.991505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.493126,-0.393005,386.909760,88.941040
7,PRE_MOTOR,1760550066260657,1760550066687342,-0.006185,-0.042203,-0.026549,-0.004392,0.129942,0.002155,0.991510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.492935,-0.202754,386.909760,88.941040
8,PRE_MOTOR,1760550066359709,1760550066697496,-0.007506,-0.039296,-0.022159,-0.004346,0.130017,0.002012,0.991500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.493362,-0.170314,386.909760,88.941048
9,PRE_MOTOR,1760550066459748,1760550066707438,-0.008682,-0.036189,-0.017908,-0.004276,0.130128,0.001850,0.991486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.493279,0.028825,386.909760,88.941040
