event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,gpr_position,gpr_velocity,left_position,right_position
KEY_PRESS_START,1760550064560597,1760550064568323,-0.007952,-0.036403,-0.015764,74.493729,-0.248903,0.000000,0.000000
ARDUINO_START,1760550064560597,1760550064568323,-0.007189,-0.037352,-0.017147,74.493729,-0.248903,0.000000,0.000000
PRE_MOTOR,1760550065759723,1760550066627187,-0.006452,-0.038560,-0.018538,74.494598,0.029540,386.909760,88.941040
PRE_MOTOR,1760550065859627,1760550066637265,-0.005431,-0.040317,-0.020967,74.496544,0.484972,386.909760,88.941040
PRE_MOTOR,1760550065959626,1760550066647369,-0.004653,-0.041895,-0.024062,74.494492,0.282740,386.909760,88.941040
PRE_MOTOR,1760550066059633,1760550066667296,-0.004596,-0.042907,-0.025785,74.494125,-0.219302,386.909760,88.941040
PRE_MOTOR,1760550066159070,1760550066677296,-0.005117,-0.042726,-0.025958,74.493126,-0.393005,386.909760,88.941040
PRE_MOTOR,1760550066260657,1760550066687342,-0.006152,-0.041286,-0.024719,74.492935,-0.202754,386.909760,88.941040
PRE_MOTOR,1760550066359709,1760550066697496,-0.007442,-0.039276,-0.022186,74.493362,-0.170314,386.909760,88.941048
PRE_MOTOR,1760550066459748,1760550066707438,-0.008550,-0.037389,-0.018351,74.493279,0.028825,386.909760,88.941040
PRE_MOTOR,1760550066559771,1760550066717470,-0.009142,-0.036186,-0.016302,74.493568,0.419213,386.909760,88.941040
PRE_MOTOR,1760550066659605,1760550066727516,-0.010123,-0.034967,-0.012817,74.493317,-0.216389,386.909760,88.941040
PRE_MOTOR,0,1760550066767146,-0.010123,-0.034967,-0.012817,74.494110,0.027103,386.909760,88.941040
PRE_MOTOR,1760550066759645,1760550066787380,-0.010887,-0.034458,-0.009600,74.493698,-0.252651,386.909760,88.941040
PRE_MOTOR,0,1760550066797444,-0.010887,-0.034458,-0.009600,74.493729,0.245606,386.909760,88.941040
PRE_MOTOR,0,1760550066807480,-0.010887,-0.034458,-0.009600,74.493523,-0.166262,386.909760,88.941040
PRE_MOTOR,0,1760550066817510,-0.010887,-0.034458,-0.009600,74.493675,-0.112640,386.909760,88.941040
PRE_MOTOR,0,1760550066857231,-0.010887,-0.034458,-0.009600,74.494095,-0.184642,386.909760,88.941040
PRE_MOTOR,0,1760550066867203,-0.010887,-0.034458,-0.009600,74.494469,0.167450,386.909760,88.941040
PRE_MOTOR,1760550066860676,1760550066897456,-0.010633,-0.033929,-0.006871,74.495392,0.058157,386.909760,88.941040
PRE_MOTOR,0,1760550066907482,-0.010633,-0.033929,-0.006871,74.494324,0.123305,386.909760,88.941040
PRE_MOTOR,0,1760550066917459,-0.010633,-0.033929,-0.006871,74.493942,-0.079462,386.909760,88.941040
PRE_MOTOR,0,1760550066947174,-0.010633,-0.033929,-0.006871,74.494850,0.247812,386.909760,88.941040
PRE_MOTOR,0,1760550066957252,-0.010633,-0.033929,-0.006871,74.494133,0.047384,386.909760,88.941040
PRE_MOTOR,1760550066959792,1760550066996462,-0.009691,-0.033579,-0.006098,74.494728,0.201358,386.909760,88.941040
PRE_MOTOR,0,1760550067006529,-0.009691,-0.033579,-0.006098,74.494591,0.338918,386.909760,88.941040
PRE_MOTOR,0,1760550067026189,-0.009691,-0.033579,-0.006098,74.495300,0.321893,386.909760,88.941040
PRE_MOTOR,0,1760550067066335,-0.009691,-0.033579,-0.006098,74.493843,-0.581155,386.909760,88.941040
PRE_MOTOR,1760550067059683,1760550067096516,-0.007495,-0.032884,-0.006479,74.495399,0.592602,386.909760,88.941040
PRE_MOTOR,0,1760550067116170,-0.007495,-0.032884,-0.006479,74.494461,0.004170,386.909760,88.941040
PRE_MOTOR,0,1760550067146533,-0.007495,-0.032884,-0.006479,74.495720,0.459431,386.909760,88.941040
PRE_MOTOR,0,1760550067156572,-0.007495,-0.032884,-0.006479,74.494232,0.042869,386.909760,88.941040
PRE_MOTOR,1760550067159466,1760550067196224,-0.006059,-0.031866,-0.008875,74.494118,0.049403,386.909760,88.941040
PRE_MOTOR,0,1760550067206334,-0.006059,-0.031866,-0.008875,74.493248,-0.578204,386.909760,88.941040
PRE_MOTOR,0,1760550067216348,-0.006059,-0.031866,-0.008875,74.494087,0.176830,386.909760,88.941040
PRE_MOTOR,0,1760550067246246,-0.006059,-0.031866,-0.008875,74.493652,-0.137294,386.909760,88.941048
GPR_MOTOR_START,1760550067259725,1760550067296512,-0.004379,-0.031167,-0.013391,74.458160,-3.679412,386.909760,88.941040
SCANNING,0,1760550067306567,-0.004379,-0.031167,-0.013391,74.439583,-2.664881,386.909760,88.941040
SCANNING,0,1760550067346408,-0.004379,-0.031167,-0.013391,74.454338,2.386903,386.909760,88.941040
SCANNING,0,1760550067366376,-0.004379,-0.031167,-0.013391,74.510117,3.716555,386.909760,88.941040
SCANNING,1760550067359742,1760550067396170,-0.003035,-0.031516,-0.019020,74.589485,2.371204,386.909760,88.941040
SCANNING,0,1760550067406239,-0.003035,-0.031516,-0.019020,74.609749,1.366367,386.909760,88.941040
SCANNING,0,1760550067416323,-0.003035,-0.031516,-0.019020,74.634483,0.304623,386.909760,88.941048
SCANNING,0,1760550067456334,-0.003035,-0.031516,-0.019020,74.746788,3.021559,386.909760,88.941040
SCANNING,0,1760550067466447,-0.003035,-0.031516,-0.019020,74.770638,3.712019,386.909760,88.941040
SCANNING,1760550067460530,1760550067496213,-0.002636,-0.032877,-0.026511,74.850052,3.619442,386.909760,88.941040
