# GPR Scan Data - Comprehensive High-Frequency Logging
# Start Time: 20251107_125425
# GPR Velocity (m/s): 0.5
# Log Frequency (Hz): 50.0
# GPR Wheel Radius (m): 0.03
# Fast-LIO Topic: /Odometry_tilt_corrected_diff
# GPR Motor Start Delay: 0.5 s
# Post-Stop Duration: 1.5 s
#
# Timestamp Format: Microseconds (µs) since epoch
# Time Sync: Both fastlio_time_us and gpr_time_us use ROS time
#
# Event Types:
#   KEY_PRESS_START - Scan key pressed, 50Hz logging begins
#   ARDUINO_START - Linear actuator starting
#   PRE_MOTOR - Waiting for motor start (50Hz logging active)
#   GPR_MOTOR_START - GPR motor velocity command sent
#   SCANNING - Normal scanning operation (50Hz logging)
#   KEY_PRESS_STOP - Stop key pressed (50Hz continues)
#   MOTOR_STOPPING - Stopping motor (50Hz continues)
#   POST_STOP - After motor stopped (50Hz continues)
#   ARDUINO_STOP - Linear actuator stopping
#
seq,event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,gpr_position,gpr_velocity,left_position,right_position
0,KEY_PRESS_START,1762538065635197,1762538065628993,-0.474068,-0.345425,0.201180,-0.014116,0.138047,0.036556,0.989650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1060.648071,0.231358
1,ARDUINO_START,1762538065635197,1762538065628993,-0.474068,-0.345425,0.201180,-0.014116,0.138047,0.036556,0.989650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1060.648071,0.231358
2,PRE_MOTOR,1762538066735315,1762538067639561,-0.413660,-0.297346,0.197723,-0.014903,0.145945,0.033589,0.988610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1060.647095,-0.215102,21.231892,-23.806425
3,PRE_MOTOR,1762538066835177,1762538067648163,-0.402814,-0.293267,0.198808,-0.014033,0.145025,0.033515,0.988761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1060.647461,-0.076464,21.231899,-23.806421
4,PRE_MOTOR,1762538066935315,1762538067657773,-0.389893,-0.290039,0.194727,-0.012150,0.144460,0.033573,0.988866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1060.647461,0.099383,21.231901,-23.806427
5,PRE_MOTOR,1762538067036282,1762538067666920,-0.389869,-0.281496,0.191224,-0.012085,0.142385,0.031997,0.989220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1060.645508,-0.474191,21.231897,-23.806423
6,PRE_MOTOR,1762538067135207,1762538067676500,-0.373062,-0.277686,0.190821,-0.009491,0.143098,0.031983,0.989146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1060.646240,-0.382042,21.231895,-23.806412
7,PRE_MOTOR,1762538067235163,1762538067686889,-0.371599,-0.274591,0.190603,-0.009413,0.141593,0.031458,0.989380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1060.648071,0.283358,21.231899,-23.806416
8,PRE_MOTOR,1762538067335196,1762538067696506,-0.363536,-0.265904,0.190306,-0.008146,0.140783,0.031518,0.989505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1060.647827,0.175442,21.231901,-23.806417
9,PRE_MOTOR,1762538067435096,1762538067706426,-0.371442,-0.264372,0.192403,-0.007068,0.137144,0.031235,0.990033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1060.647705,0.060743,21.231895,-23.806425
