# GPR Scan Data - Comprehensive High-Frequency Logging
# Start Time: 20251107_130324
# GPR Velocity (m/s): 0.5
# Log Frequency (Hz): 50.0
# GPR Wheel Radius (m): 0.03
# Fast-LIO Topic: /Odometry_tilt_corrected_diff
# GPR Motor Start Delay: 0.5 s
# Post-Stop Duration: 1.5 s
#
# Timestamp Format: Microseconds (µs) since epoch
# Time Sync: Both fastlio_time_us and gpr_time_us use ROS time
#
# Event Types:
#   KEY_PRESS_START - Scan key pressed, 50Hz logging begins
#   ARDUINO_START - Linear actuator starting
#   PRE_MOTOR - Waiting for motor start (50Hz logging active)
#   GPR_MOTOR_START - GPR motor velocity command sent
#   SCANNING - Normal scanning operation (50Hz logging)
#   KEY_PRESS_STOP - Stop key pressed (50Hz continues)
#   MOTOR_STOPPING - Stopping motor (50Hz continues)
#   POST_STOP - After motor stopped (50Hz continues)
#   ARDUINO_STOP - Linear actuator stopping
#
seq,event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,gpr_position,gpr_velocity,left_position,right_position
0,KEY_PRESS_START,1762538603971580,1762538603967933,0.022735,0.021409,0.058980,0.009796,0.134959,0.110118,0.984665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.939087,-0.115172
1,ARDUINO_START,1762538603971580,1762538603967933,0.022735,0.021409,0.058980,0.009796,0.134959,0.110118,0.984665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.939087,-0.115172
2,PRE_MOTOR,1762538605071664,1762538605964962,0.018295,0.017800,0.045703,0.005656,0.133413,0.110991,0.984810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.939941,0.076770,27.327400,-27.150156
3,PRE_MOTOR,1762538605172624,1762538605986731,0.020886,0.021635,0.045883,0.005696,0.133353,0.110604,0.984861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.940063,0.681072,27.327400,-27.150150
4,PRE_MOTOR,1762538605271714,1762538605995835,0.021612,0.022529,0.044717,0.006059,0.133089,0.110799,0.984873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.939331,0.044938,27.327398,-27.150160
5,PRE_MOTOR,1762538605371488,1762538606004959,0.021568,0.024763,0.045407,0.007652,0.133775,0.109783,0.984882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.940430,0.569872,27.327398,-27.150158
6,PRE_MOTOR,1762538605471159,1762538606014976,0.022232,0.025578,0.048138,0.007996,0.133392,0.109806,0.984929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.939087,0.069003,27.327404,-27.150154
7,PRE_MOTOR,1762538605571612,1762538606024954,0.023208,0.026257,0.050065,0.009180,0.133003,0.110642,0.984878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.939575,0.268254,27.327402,-27.150150
8,PRE_MOTOR,1762538605671577,1762538606034965,0.023581,0.026290,0.051635,0.008442,0.134252,0.109762,0.984813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.938477,-0.295453,27.327400,-27.150158
9,PRE_MOTOR,1762538605771617,1762538606044982,0.024559,0.023995,0.050717,0.009314,0.133842,0.110131,0.984820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.939575,-0.073634,27.327398,-27.150154
10,PRE_MOTOR,1762538605871680,1762538606054896,0.024120,0.021270,0.047713,0.009038,0.133762,0.110065,0.984841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.940796,0.551652,27.327398,-27.150156
11,PRE_MOTOR,1762538605971287,1762538606064954,0.026226,0.021420,0.048740,0.009145,0.134819,0.109090,0.984804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1134.939209,0.305064,27.327400,-27.150150
