event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,gpr_position,gpr_velocity,left_position,right_position
KEY_PRESS_START,0,1762537492266258,2.326732,0.124065,-0.041342,961.102112,0.182421,0.000000,0.000000
ARDUINO_START,1762537492267472,1762537492266258,2.326732,0.124065,-0.041342,961.102112,0.182421,0.000000,0.000000
SCANNING,1762537494170157,1762537494236295,2.328172,0.113537,-0.039944,961.101624,0.239186,20.515715,-22.257126
SCANNING,0,1762537494243450,2.327675,0.114029,-0.039512,961.100525,-0.224523,20.515717,-22.257118
SCANNING,0,1762537494253048,2.328006,0.113701,-0.039800,961.102295,0.474542,20.515715,-22.257124
SCANNING,0,1762537494262698,2.328172,0.113537,-0.039944,961.101196,-0.180073,20.515722,-22.257122
SCANNING,1762537494270135,1762537494271901,2.326930,0.114767,-0.038865,961.102722,0.152841,20.515713,-22.257113
SCANNING,0,1762537494281127,2.326740,0.114728,-0.039427,961.102173,0.076830,20.515717,-22.257114
SCANNING,0,1762537494291107,2.326474,0.114672,-0.040214,961.101013,-0.216432,20.515720,-22.257118
SCANNING,0,1762537494301093,2.326588,0.114696,-0.039877,961.101562,-0.143730,20.515722,-22.257113
SCANNING,0,1762537494311100,2.326246,0.114625,-0.040889,961.101257,-0.305608,20.515720,-22.257124
SCANNING,0,1762537494321102,2.326322,0.114641,-0.040664,961.102661,-0.051983,20.515724,-22.257118
SCANNING,0,1762537494355597,2.326322,0.114641,-0.040664,961.105164,0.155255,20.515720,-22.257122
SCANNING,0,1762537494365226,2.326322,0.114641,-0.040664,961.121216,1.113802,20.515720,-22.257122
SCANNING,1762537494370164,1762537494372903,2.326170,0.114609,-0.041114,961.147156,3.649541,20.515724,-22.257122
SCANNING,0,1762537494382058,2.326667,0.115421,-0.040354,961.174805,4.246615,20.515720,-22.257122
SCANNING,0,1762537494393592,2.326667,0.115421,-0.040354,961.199341,3.128245,20.515720,-22.257122
SCANNING,0,1762537494402855,2.326667,0.115421,-0.040354,961.227417,3.728940,20.515720,-22.257122
SCANNING,0,1762537494411927,2.326418,0.115015,-0.040734,961.253967,4.843360,20.515722,-22.257122
SCANNING,0,1762537494421112,2.326170,0.114609,-0.041114,961.279846,4.186056,20.515726,-22.257122
SCANNING,0,1762537494436491,2.326667,0.115421,-0.040354,961.304504,3.791786,20.515717,-22.257118
SCANNING,0,1762537494456230,2.326667,0.115421,-0.040354,961.360596,3.816217,20.515722,-22.257118
SCANNING,0,1762537494463332,2.326667,0.115421,-0.040354,961.384216,3.019541,20.515724,-22.257118
SCANNING,1762537494470129,1762537494472930,2.326667,0.115421,-0.040354,961.407959,2.722933,20.515724,-22.257118
SCANNING,0,1762537494482081,2.326667,0.115421,-0.040354,961.435791,3.009290,20.515718,-22.257118
SCANNING,0,1762537494493706,2.326667,0.115421,-0.040354,961.461670,2.546444,20.515720,-22.257118
SCANNING,0,1762537494502833,2.326667,0.115421,-0.040354,961.487732,0.959887,20.515724,-22.257118
SCANNING,0,1762537494512016,2.326667,0.115421,-0.040354,961.516602,1.955651,20.515728,-22.257118
SCANNING,0,1762537494521172,2.326667,0.115421,-0.040354,961.540955,1.716518,20.515718,-22.257118
SCANNING,0,1762537494536522,2.326667,0.115421,-0.040354,961.569214,2.803194,20.515717,-22.257122
SCANNING,0,1762537494553399,2.326667,0.115421,-0.040354,961.624023,2.406146,20.515722,-22.257122
SCANNING,0,1762537494562888,2.326667,0.115421,-0.040354,961.650757,1.913997,20.515715,-22.257122
SCANNING,1762537494569202,1762537494572208,2.329173,0.111382,-0.041578,961.675293,2.620322,20.515720,-22.257122
SCANNING,0,1762537494581793,2.329173,0.111382,-0.041578,961.698669,2.468334,20.515720,-22.257122
SCANNING,0,1762537494595496,2.330490,0.111956,-0.041090,961.728638,3.193393,20.515715,-22.257122
SCANNING,0,1762537494602695,2.329831,0.111669,-0.041334,961.758484,5.033980,20.515718,-22.257122
SCANNING,0,1762537494611885,2.330161,0.111813,-0.041212,961.782410,5.394680,20.515717,-22.257122
SCANNING,0,1762537494622034,2.329173,0.111382,-0.041578,961.797058,2.326568,20.515726,-22.257122
SCANNING,0,1762537494655540,2.330490,0.111956,-0.041090,961.881775,3.034139,20.515717,-22.257116
SCANNING,0,1762537494664642,2.330490,0.111956,-0.041090,961.909424,4.078521,20.515718,-22.257116
SCANNING,1762537494670023,1762537494674258,2.330490,0.111956,-0.041090,961.935303,4.175595,20.515722,-22.257116
SCANNING,0,1762537494682548,2.330490,0.111956,-0.041090,961.962036,3.511276,20.515724,-22.257116
SCANNING,0,1762537494695472,2.330490,0.111956,-0.041090,961.988708,3.263100,20.515718,-22.257116
SCANNING,0,1762537494704568,2.330490,0.111956,-0.041090,962.017273,3.896395,20.515718,-22.257116
SCANNING,0,1762537494714190,2.330490,0.111956,-0.041090,962.043213,2.863063,20.515720,-22.257116
SCANNING,0,1762537494734571,2.330490,0.111956,-0.041090,962.098938,3.697681,20.515720,-22.257116
SCANNING,0,1762537494746098,2.330490,0.111956,-0.041090,962.127441,4.191588,20.515718,-22.257116
SCANNING,0,1762537494755197,2.330490,0.111956,-0.041090,962.152771,4.014294,20.515718,-22.257116
SCANNING,0,1762537494764348,2.330490,0.111956,-0.041090,962.180481,3.968256,20.515722,-22.257116
SCANNING,1762537494770106,1762537494772021,2.332287,0.114068,-0.043288,962.205139,2.952912,20.515722,-22.257116
SCANNING,0,1762537494781656,2.332287,0.114068,-0.043288,962.235352,3.562333,20.515720,-22.257116
SCANNING,0,1762537494794238,2.332287,0.114068,-0.043288,962.263123,4.991004,20.515720,-22.257116
SCANNING,0,1762537494801909,2.332287,0.114068,-0.043288,962.287476,3.781872,20.515720,-22.257116
SCANNING,0,1762537494811017,2.332287,0.114068,-0.043288,962.313232,4.169995,20.515718,-22.257116
SCANNING,0,1762537494822430,2.332287,0.114068,-0.043288,962.339905,4.140156,20.515720,-22.257116
GPR_MOTOR_START,0,1762537494854622,2.332287,0.114068,-0.043288,962.403198,1.603950,20.515717,-22.257120
SCANNING,0,1762537494864235,2.332287,0.114068,-0.043288,962.424622,0.450540,20.515722,-22.257120
SCANNING,1762537494870101,1762537494871889,2.330106,0.116581,-0.043356,962.453613,2.156463,20.515718,-22.257120
SCANNING,0,1762537494881087,2.330106,0.116581,-0.043356,962.482727,3.245671,20.515717,-22.257120
SCANNING,0,1762537494892559,2.330106,0.116581,-0.043356,962.506775,4.773823,20.515717,-22.257120
SCANNING,0,1762537494901719,2.330106,0.116581,-0.043356,962.529968,2.776062,20.515717,-22.257120
SCANNING,0,1762537494910911,2.334904,0.115500,-0.043349,962.552368,2.822541,20.515726,-22.257120
SCANNING,0,1762537494920149,2.332505,0.116040,-0.043352,962.578979,3.084201,20.515720,-22.257120
SCANNING,0,1762537494935338,2.334904,0.115500,-0.043349,962.608032,3.983137,20.515724,-22.257118
SCANNING,0,1762537494952490,2.334904,0.115500,-0.043349,962.657471,2.530159,20.515726,-22.257118
SCANNING,0,1762537494962529,2.330106,0.116581,-0.043356,962.682739,2.126687,20.515718,-22.257118
SCANNING,1762537494970128,1762537494971710,2.334904,0.115500,-0.043349,962.709412,2.478233,20.515724,-22.257118
SCANNING,0,1762537494980871,2.334706,0.115935,-0.041904,962.733765,1.016765,20.515722,-22.257118
SCANNING,0,1762537494990102,2.334706,0.115935,-0.041904,962.760925,0.177361,20.515722,-22.257118
SCANNING,0,1762537495001731,2.334508,0.116370,-0.040459,962.791138,0.887129,20.515718,-22.257118
SCANNING,0,1762537495010902,2.334508,0.116370,-0.040459,962.818054,3.079002,20.515720,-22.257118
SCANNING,0,1762537495020067,2.334706,0.115935,-0.041904,962.843079,4.249474,20.515722,-22.257118
SCANNING,0,1762537495035428,2.334706,0.115935,-0.041904,962.870544,3.853464,20.515720,-22.257120
SCANNING,0,1762537495054685,2.334508,0.116370,-0.040459,962.919128,3.152734,20.515718,-22.257120
SCANNING,0,1762537495064286,2.334904,0.115500,-0.043349,962.946899,2.832247,20.515722,-22.257120
