# GPR Scan Data - Comprehensive High-Frequency Logging
# Start Time: 20251107_125215
# GPR Velocity (m/s): 0.5
# Log Frequency (Hz): 50.0
# GPR Wheel Radius (m): 0.03
# Fast-LIO Topic: /Odometry_tilt_corrected_diff
# GPR Motor Start Delay: 0.5 s
# Post-Stop Duration: 1.5 s
#
# Timestamp Format: Microseconds (µs) since epoch
# Time Sync: Both fastlio_time_us and gpr_time_us use ROS time
#
# Event Types:
#   KEY_PRESS_START - Scan key pressed, 50Hz logging begins
#   ARDUINO_START - Linear actuator starting
#   PRE_MOTOR - Waiting for motor start (50Hz logging active)
#   GPR_MOTOR_START - GPR motor velocity command sent
#   SCANNING - Normal scanning operation (50Hz logging)
#   KEY_PRESS_STOP - Stop key pressed (50Hz continues)
#   MOTOR_STOPPING - Stopping motor (50Hz continues)
#   POST_STOP - After motor stopped (50Hz continues)
#   ARDUINO_STOP - Linear actuator stopping
#
seq,event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,gpr_position,gpr_velocity,left_position,right_position
0,KEY_PRESS_START,1762537935158803,1762537935168526,0.012927,-0.004925,0.062082,0.013830,0.116341,0.006048,0.993095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.125610,0.208411
1,ARDUINO_START,1762537935158803,1762537935168526,0.012927,-0.004925,0.062082,0.013830,0.116341,0.006048,0.993095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.125610,0.208411
2,PRE_MOTOR,1762537936260751,1762537937148465,0.017551,0.000754,0.066987,0.012806,0.117837,0.007200,0.992924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.125122,0.276383,19.894495,-22.449167
3,PRE_MOTOR,1762537936360709,1762537937157496,0.016713,0.001316,0.066322,0.013030,0.117569,0.006758,0.992956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.124878,-0.309985,19.894497,-22.449173
4,PRE_MOTOR,1762537936460651,1762537937166564,0.017858,-0.000301,0.067366,0.012572,0.117850,0.007249,0.992925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.124512,-0.156682,19.894493,-22.449167
5,PRE_MOTOR,1762537936560610,1762537937176131,0.016450,-0.002449,0.069318,0.013270,0.116964,0.006568,0.993026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.123779,-0.440162,19.894497,-22.449171
6,PRE_MOTOR,1762537936660737,1762537937186226,0.016438,-0.002629,0.070248,0.012244,0.116886,0.007129,0.993044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.126709,0.674780,19.894497,-22.449171
7,PRE_MOTOR,1762537936760607,1762537937196806,0.016090,-0.001580,0.072080,0.012310,0.116920,0.007257,0.993039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.125366,0.248570,19.894495,-22.449171
8,PRE_MOTOR,1762537936860558,1762537937206139,0.014466,-0.005743,0.072653,0.012817,0.116746,0.007840,0.993048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.125854,0.009682,19.894495,-22.449173
9,PRE_MOTOR,1762537936961947,1762537937216141,0.014117,-0.008964,0.075342,0.013045,0.116721,0.007988,0.993047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.125122,-0.212599,19.894495,-22.449173
10,PRE_MOTOR,1762537937060762,1762537937226158,0.015123,-0.009019,0.075465,0.012854,0.117366,0.007986,0.992973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.126343,0.317778,19.894495,-22.449169
11,PRE_MOTOR,1762537937160723,1762537937236225,0.015983,-0.008235,0.076105,0.013032,0.117485,0.007975,0.992957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.125122,0.068586,19.894495,-22.449173
12,PRE_MOTOR,,1762537937267117,,,,,,,,,,,,,,1028.126465,0.815365,19.894497,-22.449169
13,PRE_MOTOR,1762537937260605,1762537937276221,0.015705,-0.006232,0.071881,0.013366,0.117241,0.007063,0.992988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.124756,-0.260685,19.894493,-22.449169
14,PRE_MOTOR,,1762537937286239,,,,,,,,,,,,,,1028.125488,0.127431,19.894497,-22.449171
15,PRE_MOTOR,,1762537937296231,,,,,,,,,,,,,,1028.124390,-0.301991,19.894495,-22.449171
16,PRE_MOTOR,,1762537937308119,,,,,,,,,,,,,,1028.124634,0.089269,19.894495,-22.449171
17,PRE_MOTOR,,1762537937317197,,,,,,,,,,,,,,1028.124390,-0.411477,19.894493,-22.449171
18,PRE_MOTOR,,1762537937326814,,,,,,,,,,,,,,1028.124146,-0.456978,19.894495,-22.449171
19,PRE_MOTOR,,1762537937336142,,,,,,,,,,,,,,1028.125244,0.184376,19.894497,-22.449171
20,PRE_MOTOR,,1762537937366607,,,,,,,,,,,,,,1028.123413,-0.437308,19.894495,-22.449171
21,PRE_MOTOR,1762537937360598,1762537937376200,0.017031,-0.006828,0.071662,0.013506,0.117418,0.007163,0.992965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.124023,0.091460,19.894495,-22.449171
22,PRE_MOTOR,,1762537937386149,,,,,,,,,,,,,,1028.125122,0.083063,19.894493,-22.449173
23,PRE_MOTOR,,1762537937396204,,,,,,,,,,,,,,1028.125732,0.171270,19.894495,-22.449173
24,PRE_MOTOR,,1762537937408122,,,,,,,,,,,,,,1028.125977,0.095364,19.894499,-22.449173
25,PRE_MOTOR,,1762537937417287,,,,,,,,,,,,,,1028.124023,-0.608291,19.894495,-22.449173
26,PRE_MOTOR,,1762537937426827,,,,,,,,,,,,,,1028.125854,0.312161,19.894497,-22.449173
27,PRE_MOTOR,,1762537937436151,,,,,,,,,,,,,,1028.125244,0.110258,19.894495,-22.449173
28,PRE_MOTOR,,1762537937466607,,,,,,,,,,,,,,1028.125488,0.236321,19.894495,-22.449173
29,PRE_MOTOR,1762537937460743,1762537937476124,0.019008,-0.003880,0.067687,0.013598,0.117255,0.006314,0.992989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.125244,0.412073,19.894497,-22.449173
30,PRE_MOTOR,,1762537937485263,,,,,,,,,,,,,,1028.125366,0.130866,19.894497,-22.449173
31,PRE_MOTOR,,1762537937495327,,,,,,,,,,,,,,1028.124146,-0.251014,19.894499,-22.449171
32,PRE_MOTOR,,1762537937507356,,,,,,,,,,,,,,1028.124512,-0.139546,19.894497,-22.449171
33,PRE_MOTOR,,1762537937516417,,,,,,,,,,,,,,1028.125000,0.162225,19.894495,-22.449171
34,PRE_MOTOR,,1762537937526007,,,,,,,,,,,,,,1028.124634,0.141885,19.894497,-22.449171
35,PRE_MOTOR,,1762537937535155,,,,,,,,,,,,,,1028.125244,0.166100,19.894495,-22.449171
36,PRE_MOTOR,,1762537937548401,,,,,,,,,,,,,,1028.125854,0.184488,19.894497,-22.449171
37,PRE_MOTOR,,1762537937567081,,,,,,,,,,,,,,1028.126587,0.147131,19.894495,-22.449171
38,PRE_MOTOR,1762537937560629,1762537937576128,0.020272,-0.004454,0.066738,0.013742,0.117208,0.006277,0.992992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.125244,0.030074,19.894493,-22.449171
39,PRE_MOTOR,,1762537937585292,,,,,,,,,,,,,,1028.126099,0.357840,19.894497,-22.449171
40,PRE_MOTOR,,1762537937595872,,,,,,,,,,,,,,1028.125488,-0.042271,19.894497,-22.449171
41,PRE_MOTOR,,1762537937607187,,,,,,,,,,,,,,1028.125366,0.273217,19.894493,-22.449171
42,PRE_MOTOR,,1762537937616217,,,,,,,,,,,,,,1028.125000,0.028808,19.894497,-22.449171
43,PRE_MOTOR,,1762537937625743,,,,,,,,,,,,,,1028.125610,-0.044610,19.894497,-22.449171
44,PRE_MOTOR,,1762537937635171,,,,,,,,,,,,,,1028.124878,0.092287,19.894493,-22.449171
45,PRE_MOTOR,,1762537937666489,,,,,,,,,,,,,,1028.124878,-0.104990,19.894497,-22.449171
46,PRE_MOTOR,1762537937660604,1762537937676064,0.019795,-0.002226,0.066756,0.013507,0.117105,0.006029,0.993009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.123291,-0.535052,19.894495,-22.449171
47,PRE_MOTOR,,1762537937685192,,,,,,,,,,,,,,1028.125854,0.244718,19.894495,-22.449171
48,PRE_MOTOR,,1762537937695242,,,,,,,,,,,,,,1028.124634,-0.172902,19.894495,-22.449171
49,PRE_MOTOR,,1762537937707135,,,,,,,,,,,,,,1028.125610,0.222195,19.894493,-22.449171
50,PRE_MOTOR,,1762537937716194,,,,,,,,,,,,,,1028.124023,-0.551354,19.894493,-22.449171
51,PRE_MOTOR,,1762537937725724,,,,,,,,,,,,,,1028.124634,-0.334289,19.894495,-22.449171
52,PRE_MOTOR,,1762537937735134,,,,,,,,,,,,,,1028.124512,-0.411395,19.894497,-22.449171
53,GPR_MOTOR_START,,1762537937767070,,,,,,,,,,,,,,1028.123413,-0.687193,19.894491,-22.449171
54,SCANNING,1762537937760645,1762537937776120,0.019983,-0.001824,0.064947,0.013365,0.117040,0.006619,0.993015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1028.115356,-0.868749,19.894493,-22.449171
55,SCANNING,,1762537937785172,,,,,,,,,,,,,,1028.118408,0.955540,19.894491,-22.449173
56,SCANNING,,1762537937795184,,,,,,,,,,,,,,1028.127075,1.180638,19.894495,-22.449173
57,SCANNING,,1762537937807075,,,,,,,,,,,,,,1028.152588,3.864569,19.894497,-22.449173
