event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,gpr_position,gpr_velocity,left_position,right_position
KEY_PRESS_START,1762537935158803,1762537935168526,0.012927,-0.004925,0.062082,1028.125610,0.208411,0.000000,0.000000
ARDUINO_START,0,1762537935168526,0.012927,-0.004925,0.062082,1028.125610,0.208411,0.000000,0.000000
PRE_MOTOR,1762537937060762,1762537937148465,0.015123,-0.009019,0.075465,1028.125122,0.276383,19.894495,-22.449167
PRE_MOTOR,1762537937160723,1762537937157496,0.015983,-0.008235,0.076105,1028.124878,-0.309985,19.894497,-22.449173
PRE_MOTOR,0,1762537937166564,0.015705,-0.006232,0.071881,1028.124512,-0.156682,19.894493,-22.449167
PRE_MOTOR,0,1762537937176131,0.015844,-0.007233,0.073993,1028.123779,-0.440162,19.894497,-22.449171
PRE_MOTOR,0,1762537937186226,0.015844,-0.007233,0.073993,1028.126709,0.674780,19.894497,-22.449171
PRE_MOTOR,0,1762537937196806,0.015705,-0.006232,0.071881,1028.125366,0.248570,19.894495,-22.449171
PRE_MOTOR,0,1762537937206139,0.015844,-0.007233,0.073993,1028.125854,0.009682,19.894495,-22.449173
PRE_MOTOR,0,1762537937216141,0.015844,-0.007233,0.073993,1028.125122,-0.212599,19.894495,-22.449173
PRE_MOTOR,0,1762537937226158,0.015705,-0.006232,0.071881,1028.126343,0.317778,19.894495,-22.449169
PRE_MOTOR,0,1762537937236225,0.015844,-0.007233,0.073993,1028.125122,0.068586,19.894495,-22.449173
PRE_MOTOR,1762537937260605,1762537937267117,0.015705,-0.006232,0.071881,1028.126465,0.815365,19.894497,-22.449169
PRE_MOTOR,0,1762537937276221,0.015705,-0.006232,0.071881,1028.124756,-0.260685,19.894493,-22.449169
PRE_MOTOR,0,1762537937286239,0.015705,-0.006232,0.071881,1028.125488,0.127431,19.894497,-22.449171
PRE_MOTOR,0,1762537937296231,0.015705,-0.006232,0.071881,1028.124390,-0.301991,19.894495,-22.449171
PRE_MOTOR,0,1762537937308119,0.015705,-0.006232,0.071881,1028.124634,0.089269,19.894495,-22.449171
PRE_MOTOR,0,1762537937317197,0.015705,-0.006232,0.071881,1028.124390,-0.411477,19.894493,-22.449171
PRE_MOTOR,0,1762537937326814,0.015705,-0.006232,0.071881,1028.124146,-0.456978,19.894495,-22.449171
PRE_MOTOR,0,1762537937336142,0.015705,-0.006232,0.071881,1028.125244,0.184376,19.894497,-22.449171
PRE_MOTOR,1762537937360598,1762537937366607,0.017031,-0.006828,0.071662,1028.123413,-0.437308,19.894495,-22.449171
PRE_MOTOR,0,1762537937376200,0.017031,-0.006828,0.071662,1028.124023,0.091460,19.894495,-22.449171
PRE_MOTOR,0,1762537937386149,0.017031,-0.006828,0.071662,1028.125122,0.083063,19.894493,-22.449173
PRE_MOTOR,0,1762537937396204,0.019008,-0.003880,0.067687,1028.125732,0.171270,19.894495,-22.449173
PRE_MOTOR,0,1762537937408122,0.019008,-0.003880,0.067687,1028.125977,0.095364,19.894499,-22.449173
PRE_MOTOR,0,1762537937417287,0.019008,-0.003880,0.067687,1028.124023,-0.608291,19.894495,-22.449173
PRE_MOTOR,0,1762537937426827,0.019008,-0.003880,0.067687,1028.125854,0.312161,19.894497,-22.449173
PRE_MOTOR,0,1762537937436151,0.019008,-0.003880,0.067687,1028.125244,0.110258,19.894495,-22.449173
PRE_MOTOR,1762537937460743,1762537937466607,0.019008,-0.003880,0.067687,1028.125488,0.236321,19.894495,-22.449173
PRE_MOTOR,0,1762537937476124,0.019008,-0.003880,0.067687,1028.125244,0.412073,19.894497,-22.449173
PRE_MOTOR,0,1762537937485263,0.019008,-0.003880,0.067687,1028.125366,0.130866,19.894497,-22.449173
PRE_MOTOR,0,1762537937495327,0.019008,-0.003880,0.067687,1028.124146,-0.251014,19.894499,-22.449171
PRE_MOTOR,0,1762537937507356,0.019008,-0.003880,0.067687,1028.124512,-0.139546,19.894497,-22.449171
PRE_MOTOR,0,1762537937516417,0.020272,-0.004454,0.066738,1028.125000,0.162225,19.894495,-22.449171
PRE_MOTOR,0,1762537937526007,0.019008,-0.003880,0.067687,1028.124634,0.141885,19.894497,-22.449171
PRE_MOTOR,0,1762537937535155,0.020272,-0.004454,0.066738,1028.125244,0.166100,19.894495,-22.449171
PRE_MOTOR,0,1762537937548401,0.019008,-0.003880,0.067687,1028.125854,0.184488,19.894497,-22.449171
PRE_MOTOR,1762537937560629,1762537937567081,0.020272,-0.004454,0.066738,1028.126587,0.147131,19.894495,-22.449171
PRE_MOTOR,0,1762537937576128,0.020272,-0.004454,0.066738,1028.125244,0.030074,19.894493,-22.449171
PRE_MOTOR,0,1762537937585292,0.019795,-0.002226,0.066756,1028.126099,0.357840,19.894497,-22.449171
PRE_MOTOR,0,1762537937595872,0.019795,-0.002226,0.066756,1028.125488,-0.042271,19.894497,-22.449171
PRE_MOTOR,0,1762537937607187,0.020272,-0.004454,0.066738,1028.125366,0.273217,19.894493,-22.449171
PRE_MOTOR,0,1762537937616217,0.019795,-0.002226,0.066756,1028.125000,0.028808,19.894497,-22.449171
PRE_MOTOR,0,1762537937625743,0.019795,-0.002226,0.066756,1028.125610,-0.044610,19.894497,-22.449171
PRE_MOTOR,0,1762537937635171,0.020272,-0.004454,0.066738,1028.124878,0.092287,19.894493,-22.449171
PRE_MOTOR,1762537937660604,1762537937666489,0.019795,-0.002226,0.066756,1028.124878,-0.104990,19.894497,-22.449171
PRE_MOTOR,0,1762537937676064,0.019858,-0.002092,0.066153,1028.123291,-0.535052,19.894495,-22.449171
PRE_MOTOR,0,1762537937685192,0.019858,-0.002092,0.066153,1028.125854,0.244718,19.894495,-22.449171
PRE_MOTOR,0,1762537937695242,0.019858,-0.002092,0.066153,1028.124634,-0.172902,19.894495,-22.449171
PRE_MOTOR,0,1762537937707135,0.019920,-0.001958,0.065550,1028.125610,0.222195,19.894493,-22.449171
PRE_MOTOR,0,1762537937716194,0.019920,-0.001958,0.065550,1028.124023,-0.551354,19.894493,-22.449171
PRE_MOTOR,0,1762537937725724,0.019858,-0.002092,0.066153,1028.124634,-0.334289,19.894495,-22.449171
PRE_MOTOR,0,1762537937735134,0.019795,-0.002226,0.066756,1028.124512,-0.411395,19.894497,-22.449171
GPR_MOTOR_START,1762537937760645,1762537937767070,0.019983,-0.001824,0.064947,1028.123413,-0.687193,19.894491,-22.449171
SCANNING,0,1762537937776120,0.019717,-0.001343,0.065763,1028.115356,-0.868749,19.894493,-22.449171
SCANNING,0,1762537937785172,0.019717,-0.001343,0.065763,1028.118408,0.955540,19.894491,-22.449173
SCANNING,0,1762537937795184,0.019452,-0.000862,0.066579,1028.127075,1.180638,19.894495,-22.449173
SCANNING,0,1762537937807075,0.019452,-0.000862,0.066579,1028.152588,3.864569,19.894497,-22.449173
SCANNING,0,1762537937816140,0.019452,-0.000862,0.066579,1028.178589,4.313660,19.894493,-22.449173
SCANNING,0,1762537937825271,0.019452,-0.000862,0.066579,1028.201172,3.838335,19.894497,-22.449173
SCANNING,0,1762537937835140,0.019452,-0.000862,0.066579,1028.228149,4.047524,19.894495,-22.449173
SCANNING,1762537937861838,1762537937866497,0.019452,-0.000862,0.066579,1028.298828,3.264624,19.894493,-22.449173
SCANNING,0,1762537937876039,0.019452,-0.000862,0.066579,1028.322510,1.935134,19.894495,-22.449173
SCANNING,0,1762537937885200,0.019452,-0.000862,0.066579,1028.350708,2.937847,19.894497,-22.449171
SCANNING,0,1762537937895696,0.019452,-0.000862,0.066579,1028.375732,1.625517,19.894495,-22.449171
SCANNING,0,1762537937907085,0.019452,-0.000862,0.066579,1028.400024,0.525580,19.894501,-22.449171
SCANNING,0,1762537937916140,0.019452,-0.000862,0.066579,1028.425903,0.766681,19.894497,-22.449171
SCANNING,0,1762537937925733,0.019452,-0.000862,0.066579,1028.453003,1.100274,19.894497,-22.449171
SCANNING,0,1762537937935139,0.019452,-0.000862,0.066579,1028.482544,2.271216,19.894499,-22.449171
SCANNING,1762537937960670,1762537937966498,0.020416,0.001322,0.066143,1028.553955,2.994222,19.894495,-22.449171
SCANNING,0,1762537937976133,0.020416,0.001322,0.066143,1028.579468,2.853199,19.894495,-22.449171
SCANNING,0,1762537937985199,0.018387,0.001933,0.065990,1028.608154,3.341573,19.894495,-22.449169
SCANNING,0,1762537937995802,0.018387,0.001933,0.065990,1028.634277,2.776654,19.894495,-22.449169
SCANNING,0,1762537938007078,0.020416,0.001322,0.066143,1028.657959,2.204455,19.894497,-22.449169
SCANNING,0,1762537938016150,0.020416,0.001322,0.066143,1028.682373,1.817377,19.894497,-22.449169
SCANNING,0,1762537938025256,0.018387,0.001933,0.065990,1028.709106,2.469964,19.894495,-22.449169
SCANNING,0,1762537938035197,0.020416,0.001322,0.066143,1028.732178,0.737881,19.894497,-22.449169
SCANNING,1762537938060688,1762537938066145,0.018387,0.001933,0.065990,1028.816040,3.294130,19.894495,-22.449169
SCANNING,0,1762537938075206,0.018034,0.002018,0.066345,1028.836914,3.774300,19.894497,-22.449169
SCANNING,0,1762537938085207,0.018034,0.002018,0.066345,1028.866089,3.746788,19.894495,-22.449171
SCANNING,0,1762537938095726,0.017681,0.002104,0.066701,1028.890991,2.694165,19.894497,-22.449171
SCANNING,0,1762537938107134,0.018034,0.002018,0.066345,1028.912354,0.799878,19.894495,-22.449171
SCANNING,0,1762537938116231,0.018034,0.002018,0.066345,1028.943726,2.510913,19.894495,-22.449171
SCANNING,0,1762537938125788,0.018387,0.001933,0.065990,1028.971558,2.177180,19.894493,-22.449171
SCANNING,0,1762537938135149,0.018034,0.002018,0.066345,1028.999878,3.061128,19.894495,-22.449171
SCANNING,1762537938160597,1762537938166558,0.017681,0.002104,0.066701,1029.088135,4.156095,19.894497,-22.449171
SCANNING,0,1762537938176057,0.017681,0.002104,0.066701,1029.117188,4.621793,19.894497,-22.449171
SCANNING,0,1762537938185211,0.017415,0.002109,0.065640,1029.140625,2.756651,19.894495,-22.449169
SCANNING,0,1762537938195843,0.017415,0.002109,0.065640,1029.167969,2.974529,19.894497,-22.449169
SCANNING,0,1762537938207173,0.017415,0.002109,0.065640,1029.196045,3.325846,19.894497,-22.449169
SCANNING,0,1762537938216185,0.017415,0.002109,0.065640,1029.224976,3.989529,19.894497,-22.449169
SCANNING,0,1762537938225772,0.017415,0.002109,0.065640,1029.248657,3.651055,19.894497,-22.449169
SCANNING,0,1762537938235153,0.017415,0.002109,0.065640,1029.275879,3.407882,19.894497,-22.449169
SCANNING,1762537938260644,1762537938267032,0.017415,0.002109,0.065640,1029.360107,4.104111,19.894497,-22.449169
SCANNING,0,1762537938276084,0.017526,-0.001042,0.061463,1029.386841,3.831197,19.894495,-22.449169
SCANNING,0,1762537938285236,0.017526,-0.001042,0.061463,1029.406372,2.057063,19.894493,-22.449169
SCANNING,0,1762537938295797,0.017526,-0.001042,0.061463,1029.433838,2.195435,19.894495,-22.449169
SCANNING,0,1762537938307162,0.017415,0.002109,0.065640,1029.460327,1.803854,19.894497,-22.449169
SCANNING,0,1762537938316234,0.017415,0.002109,0.065640,1029.487671,0.813331,19.894499,-22.449169
SCANNING,0,1762537938325821,0.017526,-0.001042,0.061463,1029.516479,1.576181,19.894495,-22.449169
SCANNING,0,1762537938335195,0.017526,-0.001042,0.061463,1029.541504,1.913983,19.894495,-22.449169
SCANNING,0,1762537938345282,0.017526,-0.001042,0.061463,1029.568359,2.681011,19.894493,-22.449169
SCANNING,1762537938360774,1762537938366095,0.017526,-0.001042,0.061463,1029.625122,2.218809,19.894495,-22.449169
SCANNING,0,1762537938375240,0.017526,-0.001042,0.061463,1029.650269,2.789680,19.894495,-22.449169
SCANNING,0,1762537938385209,0.017526,-0.001042,0.061463,1029.675171,3.004935,19.894493,-22.449169
SCANNING,0,1762537938395795,0.017388,-0.003402,0.064690,1029.697876,2.690953,19.894497,-22.449169
SCANNING,0,1762537938407092,0.017388,-0.003402,0.064690,1029.729126,3.745831,19.894497,-22.449169
SCANNING,0,1762537938416187,0.017526,-0.001042,0.061463,1029.755493,5.154537,19.894495,-22.449169
SCANNING,0,1762537938425747,0.017526,-0.001042,0.061463,1029.777344,3.941552,19.894493,-22.449169
SCANNING,0,1762537938435255,0.017526,-0.001042,0.061463,1029.796631,2.205264,19.894495,-22.449169
SCANNING,1762537938460660,1762537938465608,0.017388,-0.003402,0.064690,1029.880493,3.015591,19.894497,-22.449169
SCANNING,0,1762537938475185,0.017388,-0.003402,0.064690,1029.908325,3.730475,19.894495,-22.449169
SCANNING,0,1762537938485228,0.017388,-0.003402,0.064690,1029.937378,4.803627,19.894497,-22.449171
SCANNING,0,1762537938495778,0.017388,-0.003402,0.064690,1029.960083,3.113060,19.894495,-22.449171
SCANNING,0,1762537938507089,0.017388,-0.003402,0.064690,1029.987549,3.224684,19.894495,-22.449171
SCANNING,0,1762537938516177,0.017388,-0.003402,0.064690,1030.014038,3.140151,19.894495,-22.449171
SCANNING,0,1762537938525755,0.017388,-0.003402,0.064690,1030.041748,2.486828,19.894497,-22.449171
SCANNING,0,1762537938535169,0.017388,-0.003402,0.064690,1030.069092,2.954031,19.894495,-22.449171
SCANNING,1762537938560639,1762537938565625,0.017976,-0.003011,0.065380,1030.154785,4.173671,19.894495,-22.449171
SCANNING,0,1762537938575207,0.017976,-0.003011,0.065380,1030.182861,3.478286,19.894495,-22.449171
SCANNING,0,1762537938585174,0.017562,-0.002147,0.063002,1030.207153,3.251408,19.894495,-22.449167
SCANNING,0,1762537938595254,0.017562,-0.002147,0.063002,1030.237183,3.737887,19.894495,-22.449167
SCANNING,0,1762537938607099,0.017562,-0.002147,0.063002,1030.264771,4.517360,19.894495,-22.449167
SCANNING,0,1762537938616203,0.017976,-0.003011,0.065380,1030.288330,3.596215,19.894499,-22.449167
SCANNING,0,1762537938625754,0.017562,-0.002147,0.063002,1030.314453,3.243184,19.894497,-22.449167
SCANNING,0,1762537938635168,0.017562,-0.002147,0.063002,1030.340820,2.380437,19.894497,-22.449167
SCANNING,1762537938661827,1762537938665586,0.017562,-0.002147,0.063002,1030.420532,4.105031,19.894497,-22.449167
SCANNING,0,1762537938675208,0.017562,-0.002147,0.063002,1030.452271,4.696757,19.894495,-22.449167
SCANNING,0,1762537938685211,0.017562,-0.002147,0.063002,1030.475708,4.143225,19.894495,-22.449169
SCANNING,0,1762537938695231,0.017897,0.000124,0.062958,1030.496948,2.923840,19.894497,-22.449169
SCANNING,0,1762537938707104,0.017562,-0.002147,0.063002,1030.523315,2.192745,19.894495,-22.449169
SCANNING,0,1762537938716191,0.017897,0.000124,0.062958,1030.546509,1.817211,19.894497,-22.449169
SCANNING,0,1762537938725872,0.017897,0.000124,0.062958,1030.571655,0.977135,19.894497,-22.449169
SCANNING,0,1762537938735238,0.017897,0.000124,0.062958,1030.597412,0.961785,19.894497,-22.449169
SCANNING,1762537938760764,1762537938765753,0.017897,0.000124,0.062958,1030.677490,1.579192,19.894497,-22.449169
SCANNING,0,1762537938775258,0.017423,0.003275,0.063804,1030.703735,2.026675,19.894495,-22.449169
SCANNING,0,1762537938784801,0.017897,0.000124,0.062958,1030.730347,1.190647,19.894497,-22.449169
SCANNING,0,1762537938794904,0.017423,0.003275,0.063804,1030.760864,1.417038,19.894495,-22.449169
SCANNING,0,1762537938806483,0.017423,0.003275,0.063804,1030.790894,3.178944,19.894495,-22.449169
SCANNING,0,1762537938815557,0.017423,0.003275,0.063804,1030.808838,4.276096,19.894495,-22.449169
SCANNING,0,1762537938825120,0.017423,0.003275,0.063804,1030.828735,2.728685,19.894493,-22.449169
SCANNING,0,1762537938834251,0.017423,0.003275,0.063804,1030.857422,2.852297,19.894495,-22.449169
SCANNING,0,1762537938847433,0.017423,0.003275,0.063804,1030.885620,1.520539,19.894495,-22.449169
SCANNING,1762537938860727,1762537938865590,0.017423,0.003275,0.063804,1030.937866,1.482593,19.894495,-22.449169
SCANNING,0,1762537938875204,0.017423,0.003275,0.063804,1030.963989,1.525973,19.894497,-22.449169
SCANNING,0,1762537938884420,0.017423,0.003275,0.063804,1030.991455,1.300027,19.894495,-22.449169
SCANNING,0,1762537938894945,0.017423,0.003275,0.063804,1031.019165,1.703453,19.894495,-22.449169
SCANNING,0,1762537938906116,0.017423,0.003275,0.063804,1031.045898,1.698025,19.894495,-22.449169
SCANNING,0,1762537938915329,0.017423,0.003275,0.063804,1031.071045,1.793415,19.894497,-22.449169
SCANNING,0,1762537938924851,0.017423,0.003275,0.063804,1031.097412,0.521802,19.894491,-22.449169
SCANNING,0,1762537938934228,0.017423,0.003275,0.063804,1031.129028,1.437932,19.894491,-22.449169
SCANNING,1762537938960491,1762537938966076,0.021849,0.004768,0.064445,1031.208740,2.177440,19.894495,-22.449169
SCANNING,0,1762537938975232,0.021849,0.004768,0.064445,1031.237305,1.827701,19.894497,-22.449169
SCANNING,0,1762537938984260,0.020818,0.004846,0.063226,1031.265015,2.175270,19.894495,-22.449167
SCANNING,0,1762537938994763,0.021849,0.004768,0.064445,1031.290894,2.254769,19.894497,-22.449167
SCANNING,0,1762537939006175,0.020818,0.004846,0.063226,1031.316528,1.285202,19.894495,-22.449167
SCANNING,0,1762537939015238,0.020818,0.004846,0.063226,1031.344727,2.254345,19.894495,-22.449167
SCANNING,0,1762537939024850,0.020818,0.004846,0.063226,1031.373779,2.417298,19.894495,-22.449167
SCANNING,0,1762537939034206,0.020818,0.004846,0.063226,1031.400391,2.439970,19.894495,-22.449167
SCANNING,1762537939060652,1762537939066065,0.020818,0.004846,0.063226,1031.481812,3.609196,19.894495,-22.449167
SCANNING,0,1762537939075208,0.021856,0.006092,0.068596,1031.505737,4.190155,19.894497,-22.449167
SCANNING,0,1762537939084216,0.021856,0.006092,0.068596,1031.529297,3.069163,19.894497,-22.449169
SCANNING,0,1762537939094773,0.021856,0.006092,0.068596,1031.551636,2.548431,19.894495,-22.449169
SCANNING,0,1762537939106120,0.020818,0.004846,0.063226,1031.578735,2.786893,19.894493,-22.449169
SCANNING,0,1762537939115231,0.021856,0.006092,0.068596,1031.607178,3.742895,19.894495,-22.449169
SCANNING,0,1762537939124856,0.020818,0.004846,0.063226,1031.634521,2.843401,19.894491,-22.449169
SCANNING,0,1762537939134262,0.020818,0.004846,0.063226,1031.655762,1.560089,19.894493,-22.449169
SCANNING,0,1762537939144247,0.021856,0.006092,0.068596,1031.682251,2.085216,19.894497,-22.449169
SCANNING,1762537939160819,1762537939165290,0.021856,0.006092,0.068596,1031.733032,1.050476,19.894495,-22.449169
SCANNING,0,1762537939174951,0.021856,0.006092,0.068596,1031.761108,0.748169,19.894497,-22.449169
SCANNING,0,1762537939184195,0.021856,0.006092,0.068596,1031.789062,1.243047,19.894499,-22.449169
SCANNING,0,1762537939194341,0.021856,0.006092,0.068596,1031.817993,3.585273,19.894497,-22.449169
SCANNING,0,1762537939206186,0.021856,0.006092,0.068596,1031.838257,3.935422,19.894497,-22.449169
SCANNING,0,1762537939215278,0.021856,0.006092,0.068596,1031.865112,3.510125,19.894495,-22.449169
SCANNING,0,1762537939224836,0.021856,0.006092,0.068596,1031.890381,2.492569,19.894495,-22.449169
SCANNING,0,1762537939234249,0.021856,0.006092,0.068596,1031.914307,2.097924,19.894495,-22.449169
SCANNING,0,1762537939244259,0.021856,0.006092,0.068596,1031.942505,1.607575,19.894497,-22.449169
SCANNING,1762537939260762,1762537939265522,0.024112,0.008112,0.070788,1031.995605,1.856778,19.894493,-22.449169
SCANNING,0,1762537939275047,0.024112,0.008112,0.070788,1032.026733,2.940632,19.894493,-22.449169
SCANNING,0,1762537939284204,0.024112,0.008112,0.070788,1032.052368,2.485923,19.894495,-22.449167
SCANNING,0,1762537939294797,0.024112,0.008112,0.070788,1032.080811,3.668207,19.894495,-22.449167
SCANNING,0,1762537939306210,0.024112,0.008112,0.070788,1032.107788,2.820056,19.894495,-22.449167
SCANNING,0,1762537939315233,0.024112,0.008112,0.070788,1032.136230,2.505149,19.894495,-22.449167
