# GPR Scan Data - Comprehensive High-Frequency Logging
# Start Time: 20251013_153039
# GPR Velocity (m/s): 0.5
# Log Frequency (Hz): 50.0
# GPR Wheel Radius (m): 0.03
# Fast-LIO Topic: /Odometry
# GPR Motor Start Delay: 0.5 s
# Post-Stop Duration: 1.5 s
#
# Timestamp Format: Microseconds (µs) since epoch
# Time Sync: Both fastlio_time_us and gpr_time_us use ROS time
#
# Event Types:
#   KEY_PRESS_START - Scan key pressed, 50Hz logging begins
#   ARDUINO_START - Linear actuator starting
#   PRE_MOTOR - Waiting for motor start (50Hz logging active)
#   GPR_MOTOR_START - GPR motor velocity command sent
#   SCANNING - Normal scanning operation (50Hz logging)
#   KEY_PRESS_STOP - Stop key pressed (50Hz continues)
#   MOTOR_STOPPING - Stopping motor (50Hz continues)
#   POST_STOP - After motor stopped (50Hz continues)
#   ARDUINO_STOP - Linear actuator stopping
#
seq,event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,gpr_position,gpr_velocity
0,KEY_PRESS_START,1760383839937070,1760383839934450,-0.100036,0.014664,0.096499,0.000315,0.000770,-0.001826,0.999998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1240.908447,0.360263
1,ARDUINO_START,1760383839937070,1760383839934450,-0.100036,0.014664,0.096499,0.000315,0.000770,-0.001826,0.999998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1240.908447,0.360263
2,SCANNING,1760383841037211,1760383839955488,-0.099139,0.012006,0.092754,0.000228,0.000698,-0.001719,0.999998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1240.909424,0.245114
3,SCANNING,1760383841137007,1760383841874584,-0.099972,0.010815,0.089442,0.000178,0.000747,-0.001897,0.999998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1240.908325,0.725501
4,SCANNING,1760383841237065,1760383841874584,-0.102917,0.013534,0.087198,0.000068,0.000986,-0.002380,0.999997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1240.908325,0.725501
5,SCANNING,1760383841337208,1760383841874584,-0.104293,0.015199,0.082349,-0.000114,0.000914,-0.002462,0.999997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1240.908325,0.725501
6,SCANNING,1760383841437109,1760383841874584,-0.105475,0.018605,0.078624,-0.000093,0.000841,-0.002543,0.999996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1240.908325,0.725501
7,SCANNING,1760383841537110,1760383841874584,-0.106374,0.022054,0.080072,-0.000075,0.000968,-0.002720,0.999996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1240.908325,0.725501
8,SCANNING,1760383841637275,1760383841874584,-0.105921,0.023121,0.080947,-0.000082,0.001017,-0.002776,0.999996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1240.908325,0.725501
9,SCANNING,1760383841737167,1760383841874584,-0.104674,0.022018,0.079515,-0.000142,0.000760,-0.002411,0.999997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1240.908325,0.725501
