loc_index,x,y
0.000000000000000000e+00,-1.016834000000000071e-01,1.785080000000000000e-02
1.000000000000000000e+00,-9.168376821192053550e-02,1.713719602649006746e-02
2.000000000000000000e+00,-8.168413642384106388e-02,1.642359205298013144e-02
3.000000000000000000e+00,-7.168450463576159226e-02,1.570998807947019890e-02
4.000000000000000000e+00,-6.168487284768212758e-02,1.499638410596026462e-02
5.000000000000000000e+00,-5.168524105960265597e-02,1.428278013245033035e-02
6.000000000000000000e+00,-4.168560927152318435e-02,1.356917615894039780e-02
7.000000000000000000e+00,-3.168597748344371967e-02,1.285557218543046352e-02
8.000000000000000000e+00,-2.168634569536424805e-02,1.214196821192052925e-02
9.000000000000000000e+00,-1.168671390728477644e-02,1.142836423841059670e-02
1.000000000000000000e+01,-1.687082119205304820e-03,1.071476026490066069e-02
1.100000000000000000e+01,8.312549668874152919e-03,1.000115629139072815e-02
1.200000000000000000e+01,1.831218145695363841e-02,9.287552317880793870e-03
1.300000000000000000e+01,2.831181324503309615e-02,8.573948344370861327e-03
1.400000000000000000e+01,3.831144503311256777e-02,7.860344370860927049e-03
1.500000000000000000e+01,4.831107682119203939e-02,7.146740397350992771e-03
1.600000000000000000e+01,5.831070860927151100e-02,6.433136423841058493e-03
1.700000000000000000e+01,6.831034039735098262e-02,5.719532450331124215e-03
1.800000000000000000e+01,7.830997218543045424e-02,5.005928476821191672e-03
1.900000000000000000e+01,8.830960397350992586e-02,4.292324503311257394e-03
2.000000000000000000e+01,9.830923576158939747e-02,3.578720529801323116e-03
2.100000000000000000e+01,1.083088675496688413e-01,2.865116556291390573e-03
2.200000000000000000e+01,1.183084993377483130e-01,2.151512582781456295e-03
2.300000000000000000e+01,1.283081311258278123e-01,1.437908609271520283e-03
2.400000000000000000e+01,1.383077629139072839e-01,7.243046357615877395e-04
2.500000000000000000e+01,1.483073947019867556e-01,1.070066225165172691e-05
2.600000000000000000e+01,1.583070264900661994e-01,-7.029033112582773468e-04
2.700000000000000000e+01,1.683066582781456988e-01,-1.416507284768213359e-03
2.800000000000000000e+01,1.783062900662251427e-01,-2.130111258278145903e-03
2.900000000000000000e+01,1.883059218543046420e-01,-2.843715231788081915e-03
3.000000000000000000e+01,1.983055536423840859e-01,-3.557319205298014458e-03
3.100000000000000000e+01,2.083051854304635297e-01,-4.270923178807947002e-03
3.200000000000000000e+01,2.183048172185430291e-01,-4.984527152317883014e-03
3.300000000000000000e+01,2.283044490066225285e-01,-5.698131125827815557e-03
3.400000000000000000e+01,2.383040807947019724e-01,-6.411735099337751570e-03
3.500000000000000000e+01,2.483037125827814162e-01,-7.125339072847684113e-03
3.600000000000000000e+01,2.583033443708608878e-01,-7.838943046357616656e-03
3.700000000000000000e+01,2.683029761589403872e-01,-8.552547019867552669e-03
3.800000000000000000e+01,2.783026079470198866e-01,-9.266150993377485212e-03
3.900000000000000000e+01,2.883022397350992749e-01,-9.979754966887417755e-03
